Gesundheitsleistungen_Güter (HC);HF.1 Finanzierungssystem Staat und verpflichtende Beitragssysteme der Gesundheitsfinanzierung;HF.1.1 Finanzierungssystem Staat;HF.1.2 Verpflichtende Beitragssysteme: Krankenversicherungssysteme;HF.1.2.1 Finanzierungssystem Sozialversicherungsträger;HF.1.2.2 Verpflichtende private Krankenversicherungssysteme;HF.2 Freiwillige Systeme der Gesundheitsfinanzierung;HF.2.1 Freiwillige Krankenversicherungssysteme;HF.2.2 Finanzierungssystem Private Organisationen ohne Erwerbszweck;HF.2.3 Finanzierungssystem Unternehmen;HF.3 Selbstzahlungen der privaten Haushalte;HF.3.1 Selbstzahlungen ohne Selbstbehalte;HF.3.2 Selbstbehalte (Kostenteilung mit Dritten);HF.4 Finanzierungssystem übrige Welt;Alle HF - Alle Finanzierungssysteme
HC.1.2+HC.2.2 Tagesfälle der kurativen und rehabilitativen Gesundheitsversorgung;219,660;121,915;97,745;97,745;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;220,660
HC.1.2 Tagesfälle der kurativen Gesundheitsversorgung;219,660;121,915;97,745;97,745;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;220,660
HC.1.3+HC.2.3 Ambulante kurative und rehabilitative Gesundheitsversorgung;5598,993;1197,344;4401,650;4401,650;0,000;153,887;121,617;32,270;0,000;2260,085;1999,383;260,702;0,000;8012,966
HC.1.3 Ambulante kurative Gesundheitsversorgung;5341,265;1110,860;4230,405;4230,405;0,000;124,080;121,617;2,463;0,000;1909,571;1648,869;260,702;0,000;7374,917
HC.1.3.1 Allgemeine ambulante Gesundheitsversorgung;1191,287;109,147;1082,140;1082,140;0,000;4,844;4,844;0,000;0,000;246,940;189,877;57,063;0,000;1443,070
HC.1.3.2 Ambulante zahnärztliche Gesundheitsversorgung;846,771;45,039;801,732;801,732;0,000;36,816;36,816;0,000;0,000;1017,565;891,491;126,074;0,000;1901,152
HC.1.3.3 Spezialisierte ambulante Gesundheitsversorgung;3209,668;931,724;2277,944;2277,944;0,000;79,957;79,957;0,000;0,000;528,002;450,437;77,565;0,000;3817,628
HC.1.3.9 Sonstige ambulante kurative Gesundheitsversorgung;93,539;24,951;68,589;68,589;0,000;2,463;0,000;2,463;0,000;117,064;117,064;0,000;0,000;213,067
HC.2.3 Ambulante rehabilitative Gesundheitsversorgung;257,728;86,484;171,245;171,245;0,000;29,807;0,000;29,807;0,000;350,514;350,514;0,000;0,000;638,049
HC.1.4+HC.2.4 Häusliche kurative und rehabilitative Gesundheitsversorgung;19,584;2,498;17,086;17,086;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;19,584
HC.1.4 Häusliche kurative Gesundheitsversorgung;19,584;2,498;17,086;17,086;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;19,584
HC.3.1 Stationäre Langzeitpflege;1558,024;1558,024;0,000;0,000;0,000;0,000;0,000;0,000;0,000;873,885;873,885;0,000;0,000;2431,909
HC.3.2 Tagesfälle der Langzeitpflege;30,487;30,487;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;30,487
HC.3.4 Häusliche Langzeitpflege;2112,650;2100,360;12,289;12,289;0,000;62,273;0,000;62,273;0,000;125,058;125,058;0,000;0,000;2299,980
HC.4.1 Klinische Labore;138,580;0,075;138,505;138,505;0,000;0,000;0,000;0,000;0,000;38,554;38,554;0,000;0,000;177,134
HC.4.2 Bildgebende Diagnoseverfahren;197,399;0,093;197,306;197,306;0,000;0,000;0,000;0,000;0,000;54,922;54,922;0,000;0,000;252,321
HC.4.3 Patiententransporte;338,003;120,718;217,285;217,285;0,000;220,876;0,000;220,876;0,000;31,679;19,368;12,311;0,000;590,557
HC.5.1 Arzneimittel und sonstige medizinische Verbrauchsgüter;2657,405;0,000;2657,405;2657,405;0,000;21,083;21,083;0,000;0,000;1241,878;860,680;381,198;0,000;3920,366
HC.5.1.1 Verschriebene Arzneimittel;2657,405;0,000;2657,405;2657,405;0,000;6,471;6,471;0,000;0,000;381,198;0,000;381,198;0,000;3045,074
HC.5.1.2 Rezeptfreie Arzneimittel;0,000;0,000;0,000;0,000;0,000;13,180;13,180;0,000;0,000;776,333;776,333;0,000;0,000;789,513
HC.5.1.3 Sonstige medizinische Verbrauchsgüter;0,000;0,000;0,000;0,000;0,000;1,432;1,432;0,000;0,000;84,347;84,347;0,000;0,000;85,779
HC.5.2 Therapeutische Hilfsmittel und andere medizinische Güter;574,346;1,517;572,829;572,829;0,000;72,954;72,954;0,000;0,000;902,459;894,945;7,514;0,000;1549,760
HC.7.1 Verwaltung der Gesundheitsversorgung;54,788;54,788;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;54,788
HC.7.2 Verwaltung der Gesundheitssystemfinanzierung;661,884;31,725;630,159;630,159;0,000;568,732;568,732;0,000;0,000;0,000;0,000;0,000;0,000;1230,616
Alle HC - Alle Gesundheitsleistungen und -güter;24270,425;10118,200;14152,225;14152,225;0,000;2160,430;1606,452;502,925;51,052;6069,065;5342,673;726,393;0,000;32499,920
HC.1+HC.2 Leistungen der kurativen und rehabilitativen Gesundheitsversorgung;15694,072;5843,409;9850,663;9850,663;0,000;1182,802;966,569;216,233;0,000;2802,884;2474,053;328,831;0,000;19679,758
HC.3 Langzeitpflege;3764,460;3752,642;11,818;11,818;0,000;63,612;0,000;63,612;0,000;1157,779;1157,779;0,000;0,000;4985,851
HC.4 Hilfsleistungen der Gesundheitsversorgung;694,735;127,438;567,297;567,297;0,000;222,030;0,000;222,030;0,000;126,532;114,988;11,545;0,000;1043,298
HC.5 Medizinische Güter;3276,153;0,000;3276,153;3276,153;0,000;116,688;116,688;0,000;0,000;2180,051;1783,942;396,109;0,000;5572,892
HC.6 Prävention;491,495;335,091;156,405;156,405;0,000;72,376;0,000;14,059;58,317;119,960;119,960;0,000;0,000;683,831
HC.7 Verwaltung der Gesundheitsversorgung und Gesundheitssystemfinanzierung;735,421;85,419;650,002;650,002;0,000;615,539;615,539;0,000;0,000;0,000;0,000;0,000;0,000;1350,961
Alle HC - Alle Gesundheitsleistungen und -güter;24656,336;10143,999;14512,337;14512,337;0,000;2273,048;1698,796;515,934;58,317;6387,207;5650,722;736,485;0,000;33316,590
HC.1 Leistungen der kurativen Gesundheitsversorgung;14359,236;5686,978;8672,258;8672,258;0,000;940,218;930,633;9,585;0,000;2202,698;1940,849;261,848;0,000;17502,151
HC.2 Leistungen der rehabilitativen Gesundheitsversorgung;1334,836;156,432;1178,405;1178,405;0,000;242,584;35,936;206,648;0,000;600,186;533,203;66,983;0,000;2177,606
HC.1.1+HC.2.1 Stationäre kurative und rehabilitative Gesundheitsversorgung;9618,174;4476,540;5141,634;5141,634;0,000;1016,086;834,396;181,690;0,000;455,667;388,684;66,983;0,000;11089,927
HC.1.1 Stationäre kurative Gesundheitsversorgung;8558,087;4413,025;4145,062;4145,062;0,000;805,302;798,460;6,842;0,000;235,013;235,013;0,000;0,000;9598,403
HC.2.1 Stationäre rehabilitative Gesundheitsversorgung;1060,087;63,515;996,572;996,572;0,000;210,783;35,936;174,847;0,000;220,654;153,671;66,983;0,000;1491,524
HC.1.2+HC.2.2 Tagesfälle der kurativen und rehabilitativen Gesundheitsversorgung;244,992;136,210;108,782;108,782;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;245,992
HC.1.2 Tagesfälle der kurativen Gesundheitsversorgung;244,992;136,210;108,782;108,782;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;245,992
HC.1.3+HC.2.3 Ambulante kurative und rehabilitative Gesundheitsversorgung;5809,938;1227,869;4582,069;4582,069;0,000;166,716;132,173;34,543;0,000;2346,217;2084,369;261,848;0,000;8322,871
HC.1.3 Ambulante kurative Gesundheitsversorgung;5535,189;1134,952;4400,237;4400,237;0,000;134,916;132,173;2,743;0,000;1966,685;1704,836;261,848;0,000;7636,789
HC.1.3.1 Allgemeine ambulante Gesundheitsversorgung;1237,124;98,865;1138,259;1138,259;0,000;5,493;5,493;0,000;0,000;242,332;184,404;57,928;0,000;1484,949
HC.1.3.2 Ambulante zahnärztliche Gesundheitsversorgung;862,167;49,138;813,029;813,029;0,000;37,776;37,776;0,000;0,000;1051,134;926,752;124,382;0,000;1951,077
HC.1.3.3 Spezialisierte ambulante Gesundheitsversorgung;3333,614;956,901;2376,713;2376,713;0,000;88,904;88,904;0,000;0,000;546,181;466,642;79,539;0,000;3968,699
HC.1.3.9 Sonstige ambulante kurative Gesundheitsversorgung;102,284;30,049;72,236;72,236;0,000;2,743;0,000;2,743;0,000;127,037;127,037;0,000;0,000;232,064
HC.2.3 Ambulante rehabilitative Gesundheitsversorgung;274,750;92,917;181,833;181,833;0,000;31,800;0,000;31,800;0,000;379,532;379,532;0,000;0,000;686,082
HC.1.4+HC.2.4 Häusliche kurative und rehabilitative Gesundheitsversorgung;20,967;2,790;18,177;18,177;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;20,967
HC.1.4 Häusliche kurative Gesundheitsversorgung;20,967;2,790;18,177;18,177;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;20,967
HC.3.1 Stationäre Langzeitpflege;1587,476;1587,476;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1017,609;1017,609;0,000;0,000;2605,085
HC.3.2 Tagesfälle der Langzeitpflege;33,300;33,300;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;33,300
HC.3.4 Häusliche Langzeitpflege;2143,683;2131,865;11,818;11,818;0,000;63,612;0,000;63,612;0,000;140,170;140,170;0,000;0,000;2347,466
HC.4.1 Klinische Labore;147,373;0,087;147,286;147,286;0,000;0,000;0,000;0,000;0,000;39,666;39,666;0,000;0,000;187,039
HC.4.2 Bildgebende Diagnoseverfahren;201,832;0,113;201,719;201,719;0,000;0,000;0,000;0,000;0,000;54,325;54,325;0,000;0,000;256,157
HC.4.3 Patiententransporte;345,530;127,238;218,292;218,292;0,000;222,030;0,000;222,030;0,000;32,542;20,997;11,545;0,000;600,102
HC.5.1 Arzneimittel und sonstige medizinische Verbrauchsgüter;2677,415;0,000;2677,415;2677,415;0,000;23,459;23,459;0,000;0,000;1259,181;870,835;388,346;0,000;3960,055
HC.5.1.1 Verschriebene Arzneimittel;2677,415;0,000;2677,415;2677,415;0,000;7,235;7,235;0,000;0,000;388,346;0,000;388,346;0,000;3072,996
HC.5.1.2 Rezeptfreie Arzneimittel;0,000;0,000;0,000;0,000;0,000;14,855;14,855;0,000;0,000;797,370;797,370;0,000;0,000;812,226
HC.5.1.3 Sonstige medizinische Verbrauchsgüter;0,000;0,000;0,000;0,000;0,000;1,369;1,369;0,000;0,000;73,465;73,465;0,000;0,000;74,834
HC.5.2 Therapeutische Hilfsmittel und andere medizinische Güter;598,738;0,000;598,738;598,738;0,000;93,229;93,229;0,000;0,000;920,870;913,107;7,763;0,000;1612,837
HC.7.1 Verwaltung der Gesundheitsversorgung;53,356;53,356;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;53,356
HC.7.2 Verwaltung der Gesundheitssystemfinanzierung;682,065;32,063;650,002;650,002;0,000;615,539;615,539;0,000;0,000;0,000;0,000;0,000;0,000;1297,604
Alle HC - Alle Gesundheitsleistungen und -güter;24656,336;10143,999;14512,337;14512,337;0,000;2273,048;1698,796;515,934;58,317;6387,207;5650,722;736,485;0,000;33316,590
HC.1+HC.2 Leistungen der kurativen und rehabilitativen Gesundheitsversorgung;16229,616;5991,127;10238,489;10238,489;0,000;1235,253;996,660;238,593;0,000;2894,704;2562,141;332,563;0,000;20359,572
HC.3 Langzeitpflege;3876,975;3865,766;11,210;11,210;0,000;67,803;0,000;67,803;0,000;1170,146;1170,146;0,000;0,000;5114,924
HC.4 Hilfsleistungen der Gesundheitsversorgung;703,071;130,638;572,433;572,433;0,000;221,902;0,000;221,902;0,000;128,752;115,173;13,579;0,000;1053,725
HC.5 Medizinische Güter;3475,975;0,000;3475,975;3475,975;0,000;126,234;126,234;0,000;0,000;2277,542;1895,867;381,675;0,000;5879,751
HC.6 Prävention;522,633;355,994;166,639;166,639;0,000;78,515;0,000;14,952;63,563;125,537;125,537;0,000;0,000;726,685
HC.7 Verwaltung der Gesundheitsversorgung und Gesundheitssystemfinanzierung;755,646;89,726;665,920;665,920;0,000;650,587;650,587;0,000;0,000;0,000;0,000;0,000;0,000;1406,234
Alle HC - Alle Gesundheitsleistungen und -güter;25563,917;10433,251;15130,666;15130,666;0,000;2380,294;1773,481;543,250;63,563;6596,680;5868,863;727,817;0,000;34540,891
HC.1 Leistungen der kurativen Gesundheitsversorgung;14834,823;5828,167;9006,655;9006,655;0,000;971,504;961,326;10,178;0,000;2262,666;2000,088;262,578;0,000;18068,993
HC.2 Leistungen der rehabilitativen Gesundheitsversorgung;1394,793;162,960;1231,833;1231,833;0,000;263,748;35,334;228,414;0,000;632,038;562,054;69,985;0,000;2290,579
HC.1.1+HC.2.1 Stationäre kurative und rehabilitative Gesundheitsversorgung;9902,369;4551,675;5350,694;5350,694;0,000;1060,359;859,179;201,180;0,000;458,000;388,016;69,985;0,000;11420,729
HC.1.1 Stationäre kurative Gesundheitsversorgung;8799,367;4488,844;4310,523;4310,523;0,000;830,968;823,845;7,123;0,000;220,461;220,461;0,000;0,000;9850,796
HC.2.1 Stationäre rehabilitative Gesundheitsversorgung;1103,002;62,831;1040,171;1040,171;0,000;229,392;35,334;194,058;0,000;237,539;167,555;69,985;0,000;1569,933
HC.1.2+HC.2.2 Tagesfälle der kurativen und rehabilitativen Gesundheitsversorgung;279,824;154,277;125,547;125,547;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;280,824
HC.1.2 Tagesfälle der kurativen Gesundheitsversorgung;279,824;154,277;125,547;125,547;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;280,824
HC.1.3+HC.2.3 Ambulante kurative und rehabilitative Gesundheitsversorgung;6025,828;1282,094;4743,734;4743,734;0,000;174,893;137,481;37,412;0,000;2435,704;2173,126;262,578;0,000;8636,425
HC.1.3 Ambulante kurative Gesundheitsversorgung;5734,037;1181,965;4552,072;4552,072;0,000;140,536;137,481;3,055;0,000;2041,205;1778,627;262,578;0,000;7915,778
HC.1.3.1 Allgemeine ambulante Gesundheitsversorgung;1245,520;103,204;1142,316;1142,316;0,000;4,438;4,438;0,000;0,000;241,190;184,160;57,031;0,000;1491,148
HC.1.3.2 Ambulante zahnärztliche Gesundheitsversorgung;889,281;48,823;840,458;840,458;0,000;36,643;36,643;0,000;0,000;1095,825;969,566;126,259;0,000;2021,750
HC.1.3.3 Spezialisierte ambulante Gesundheitsversorgung;3480,754;993,796;2486,958;2486,958;0,000;96,400;96,400;0,000;0,000;572,162;492,874;79,288;0,000;4149,316
HC.1.3.9 Sonstige ambulante kurative Gesundheitsversorgung;118,482;36,143;82,339;82,339;0,000;3,055;0,000;3,055;0,000;132,027;132,027;0,000;0,000;253,564
HC.2.3 Ambulante rehabilitative Gesundheitsversorgung;291,791;100,129;191,662;191,662;0,000;34,357;0,000;34,357;0,000;394,499;394,499;0,000;0,000;720,647
HC.1.4+HC.2.4 Häusliche kurative und rehabilitative Gesundheitsversorgung;21,594;3,081;18,514;18,514;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;21,594
HC.1.4 Häusliche kurative Gesundheitsversorgung;21,594;3,081;18,514;18,514;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;21,594
HC.3.1 Stationäre Langzeitpflege;1638,362;1638,362;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1014,586;1014,586;0,000;0,000;2652,948
HC.3.2 Tagesfälle der Langzeitpflege;37,677;37,677;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;37,677
HC.3.4 Häusliche Langzeitpflege;2200,936;2189,727;11,210;11,210;0,000;67,803;0,000;67,803;0,000;155,560;155,560;0,000;0,000;2424,299
HC.4.1 Klinische Labore;149,741;0,099;149,642;149,642;0,000;0,000;0,000;0,000;0,000;40,847;40,847;0,000;0,000;190,588
HC.4.2 Bildgebende Diagnoseverfahren;197,820;0,080;197,740;197,740;0,000;0,000;0,000;0,000;0,000;53,976;53,976;0,000;0,000;251,796
HC.4.3 Patiententransporte;355,510;130,458;225,052;225,052;0,000;221,902;0,000;221,902;0,000;33,928;20,349;13,579;0,000;611,340
HC.5.1 Arzneimittel und sonstige medizinische Verbrauchsgüter;2858,541;0,000;2858,541;2858,541;0,000;25,593;25,593;0,000;0,000;1310,404;936,518;373,887;0,000;4194,538
HC.5.1.1 Verschriebene Arzneimittel;2858,541;0,000;2858,541;2858,541;0,000;7,302;7,302;0,000;0,000;373,887;0,000;373,887;0,000;3239,730
HC.5.1.2 Rezeptfreie Arzneimittel;0,000;0,000;0,000;0,000;0,000;16,878;16,878;0,000;0,000;864,166;864,166;0,000;0,000;881,043
HC.5.1.3 Sonstige medizinische Verbrauchsgüter;0,000;0,000;0,000;0,000;0,000;1,413;1,413;0,000;0,000;72,352;72,352;0,000;0,000;73,765
HC.5.2 Therapeutische Hilfsmittel und andere medizinische Güter;617,434;0,000;617,434;617,434;0,000;100,641;100,641;0,000;0,000;967,138;959,349;7,788;0,000;1685,213
HC.7.1 Verwaltung der Gesundheitsversorgung;56,256;56,256;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;56,256
HC.7.2 Verwaltung der Gesundheitssystemfinanzierung;699,391;33,470;665,920;665,920;0,000;650,587;650,587;0,000;0,000;0,000;0,000;0,000;0,000;1349,978
Alle HC - Alle Gesundheitsleistungen und -güter;25563,917;10433,251;15130,666;15130,666;0,000;2380,294;1773,481;543,250;63,563;6596,680;5868,863;727,817;0,000;34540,891
HC.1+HC.2 Leistungen der kurativen und rehabilitativen Gesundheitsversorgung;16742,324;6143,083;10599,241;10599,241;0,000;1251,898;1008,490;243,408;0,000;2944,072;2611,572;332,500;0,000;20938,294
HC.3 Langzeitpflege;3966,156;3955,368;10,788;10,788;0,000;73,073;0,000;73,073;0,000;1262,882;1262,882;0,000;0,000;5302,112
HC.4 Hilfsleistungen der Gesundheitsversorgung;724,477;131,986;592,491;592,491;0,000;238,003;11,891;226,112;0,000;119,468;106,662;12,806;0,000;1081,948
HC.5 Medizinische Güter;3640,208;0,000;3640,208;3640,208;0,000;141,523;141,523;0,000;0,000;2357,486;1948,635;408,851;0,000;6139,217
HC.6 Prävention;558,496;382,897;175,598;175,598;0,000;92,188;2,507;16,616;73,065;130,153;130,153;0,000;0,000;780,837
HC.7 Verwaltung der Gesundheitsversorgung und Gesundheitssystemfinanzierung;801,456;99,066;702,390;702,390;0,000;648,483;648,483;0,000;0,000;0,000;0,000;0,000;0,000;1449,940
Alle HC - Alle Gesundheitsleistungen und -güter;26433,117;10712,399;15720,718;15720,718;0,000;2445,168;1812,894;559,209;73,065;6814,061;6059,904;754,157;0,000;35692,347
HC.1 Leistungen der kurativen Gesundheitsversorgung;15307,692;5976,396;9331,296;9331,296;0,000;981,023;972,350;8,673;0,000;2301,172;2040,347;260,824;0,000;18589,886
HC.2 Leistungen der rehabilitativen Gesundheitsversorgung;1434,632;166,687;1267,945;1267,945;0,000;270,875;36,140;234,735;0,000;642,900;571,225;71,676;0,000;2348,408
HC.1.1+HC.2.1 Stationäre kurative und rehabilitative Gesundheitsversorgung;10164,359;4650,538;5513,821;5513,821;0,000;1078,265;872,804;205,461;0,000;449,774;378,099;71,676;0,000;11692,399
HC.1.1 Stationäre kurative Gesundheitsversorgung;9033,977;4586,783;4447,194;4447,194;0,000;842,775;837,283;5,492;0,000;224,566;224,566;0,000;0,000;10101,318
HC.2.1 Stationäre rehabilitative Gesundheitsversorgung;1130,383;63,756;1066,627;1066,627;0,000;235,490;35,521;199,969;0,000;225,208;153,532;71,676;0,000;1591,080
HC.1.2+HC.2.2 Tagesfälle der kurativen und rehabilitativen Gesundheitsversorgung;302,105;165,913;136,192;136,192;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;303,105
HC.1.2 Tagesfälle der kurativen Gesundheitsversorgung;302,105;165,913;136,192;136,192;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;303,105
HC.1.3+HC.2.3 Ambulante kurative und rehabilitative Gesundheitsversorgung;6253,459;1323,810;4929,649;4929,649;0,000;173,633;135,686;37,947;0,000;2493,298;2232,474;260,824;0,000;8920,389
HC.1.3 Ambulante kurative Gesundheitsversorgung;5949,209;1220,878;4728,331;4728,331;0,000;138,247;135,067;3,181;0,000;2075,605;1814,781;260,824;0,000;8163,061
HC.1.3.1 Allgemeine ambulante Gesundheitsversorgung;1299,786;110,433;1189,354;1189,354;0,000;43,880;43,880;0,000;0,000;306,578;249,434;57,143;0,000;1650,244
HC.1.3.2 Ambulante zahnärztliche Gesundheitsversorgung;927,502;48,402;879,099;879,099;0,000;37,079;37,079;0,000;0,000;1097,939;974,167;123,771;0,000;2062,519
HC.1.3.3 Spezialisierte ambulante Gesundheitsversorgung;3593,334;1021,877;2571,457;2571,457;0,000;54,108;54,108;0,000;0,000;530,986;451,077;79,909;0,000;4178,428
HC.1.3.9 Sonstige ambulante kurative Gesundheitsversorgung;128,587;40,166;88,421;88,421;0,000;3,181;0,000;3,181;0,000;140,102;140,102;0,000;0,000;271,870
HC.2.3 Ambulante rehabilitative Gesundheitsversorgung;304,250;102,932;201,318;201,318;0,000;35,386;0,619;34,767;0,000;417,692;417,692;0,000;0,000;757,328
HC.1.4+HC.2.4 Häusliche kurative und rehabilitative Gesundheitsversorgung;22,401;2,822;19,579;19,579;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;22,401
HC.1.4 Häusliche kurative Gesundheitsversorgung;22,401;2,822;19,579;19,579;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;22,401
HC.3.1 Stationäre Langzeitpflege;1676,715;1676,715;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1093,598;1093,598;0,000;0,000;2770,313
HC.3.2 Tagesfälle der Langzeitpflege;40,960;40,960;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;40,960
HC.3.4 Häusliche Langzeitpflege;2248,482;2237,693;10,788;10,788;0,000;73,073;0,000;73,073;0,000;169,285;169,285;0,000;0,000;2490,840
HC.4.1 Klinische Labore;167,724;0,086;167,639;167,639;0,000;5,500;5,500;0,000;0,000;39,219;39,219;0,000;0,000;212,444
HC.4.2 Bildgebende Diagnoseverfahren;194,878;0,091;194,787;194,787;0,000;6,391;6,391;0,000;0,000;45,571;45,571;0,000;0,000;246,840
HC.4.3 Patiententransporte;361,874;131,809;230,065;230,065;0,000;226,112;0,000;226,112;0,000;34,678;21,872;12,806;0,000;622,664
HC.5.1 Arzneimittel und sonstige medizinische Verbrauchsgüter;2990,967;0,000;2990,967;2990,967;0,000;28,147;28,147;0,000;0,000;1368,124;967,267;400,856;0,000;4387,238
HC.5.1.1 Verschriebene Arzneimittel;2990,967;0,000;2990,967;2990,967;0,000;8,247;8,247;0,000;0,000;400,856;0,000;400,856;0,000;3400,070
HC.5.1.2 Rezeptfreie Arzneimittel;0,000;0,000;0,000;0,000;0,000;18,265;18,265;0,000;0,000;887,777;887,777;0,000;0,000;906,041
HC.5.1.3 Sonstige medizinische Verbrauchsgüter;0,000;0,000;0,000;0,000;0,000;1,635;1,635;0,000;0,000;79,491;79,491;0,000;0,000;81,126
HC.5.2 Therapeutische Hilfsmittel und andere medizinische Güter;649,241;0,000;649,241;649,241;0,000;113,376;113,376;0,000;0,000;989,362;981,367;7,995;0,000;1751,979
HC.7.1 Verwaltung der Gesundheitsversorgung;64,763;64,763;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;64,763
HC.7.2 Verwaltung der Gesundheitssystemfinanzierung;736,693;34,303;702,390;702,390;0,000;648,483;648,483;0,000;0,000;0,000;0,000;0,000;0,000;1385,177
Alle HC - Alle Gesundheitsleistungen und -güter;26433,117;10712,399;15720,718;15720,718;0,000;2445,168;1812,894;559,209;73,065;6814,061;6059,904;754,157;0,000;35692,347
HC.1+HC.2 Leistungen der kurativen und rehabilitativen Gesundheitsversorgung;17514,438;6437,355;11077,084;11077,084;0,000;1230,160;1034,891;195,269;0,000;3082,144;2770,602;311,542;0,000;21826,742
HC.3 Langzeitpflege;4019,216;4008,562;10,655;10,655;0,000;95,505;0,000;95,505;0,000;1422,126;1422,126;0,000;0,000;5536,848
HC.4 Hilfsleistungen der Gesundheitsversorgung;746,170;134,052;612,118;612,118;0,000;251,623;13,230;238,393;0,000;119,969;108,380;11,588;0,000;1117,761
HC.5 Medizinische Güter;3703,022;0,000;3703,022;3703,022;0,000;155,792;155,792;0,000;0,000;2377,353;1975,824;401,529;0,000;6236,167
HC.6 Prävention;571,035;393,507;177,528;177,528;0,000;98,725;2,850;17,174;78,702;122,396;122,396;0,000;0,000;792,156
HC.7 Verwaltung der Gesundheitsversorgung und Gesundheitssystemfinanzierung;826,939;101,136;725,804;725,804;0,000;683,898;683,898;0,000;0,000;0,000;0,000;0,000;0,000;1510,837
Alle HC - Alle Gesundheitsleistungen und -güter;27380,821;11074,611;16306,210;16306,210;0,000;2515,704;1890,661;546,341;78,702;7123,988;6399,328;724,659;0,000;37020,512
HC.1 Leistungen der kurativen Gesundheitsversorgung;15999,694;6267,634;9732,060;9732,060;0,000;1007,001;996,352;10,649;0,000;2390,444;2154,563;235,880;0,000;19397,139
HC.2 Leistungen der rehabilitativen Gesundheitsversorgung;1514,744;169,721;1345,023;1345,023;0,000;223,159;38,539;184,620;0,000;691,700;616,038;75,662;0,000;2429,603
HC.1.1+HC.2.1 Stationäre kurative und rehabilitative Gesundheitsversorgung;10566,951;4846,872;5720,079;5720,079;0,000;1040,419;885,356;155,063;0,000;485,871;410,210;75,662;0,000;12093,242
HC.1.1 Stationäre kurative Gesundheitsversorgung;9368,383;4780,900;4587,483;4587,483;0,000;853,565;847,523;6,042;0,000;235,376;235,376;0,000;0,000;10457,324
HC.2.1 Stationäre rehabilitative Gesundheitsversorgung;1198,568;65,972;1132,596;1132,596;0,000;186,854;37,833;149,021;0,000;250,496;174,834;75,662;0,000;1635,917
HC.1.2+HC.2.2 Tagesfälle der kurativen und rehabilitativen Gesundheitsversorgung;356,841;196,977;159,864;159,864;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;357,841
HC.1.2 Tagesfälle der kurativen Gesundheitsversorgung;356,841;196,977;159,864;159,864;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;357,841
HC.1.3+HC.2.3 Ambulante kurative und rehabilitative Gesundheitsversorgung;6568,913;1390,860;5178,053;5178,053;0,000;189,741;149,535;40,206;0,000;2595,272;2359,392;235,880;0,000;9353,926
HC.1.3 Ambulante kurative Gesundheitsversorgung;6252,736;1287,111;4965,625;4965,625;0,000;153,436;148,829;4,606;0,000;2154,068;1918,188;235,880;0,000;8560,240
HC.1.3.1 Allgemeine ambulante Gesundheitsversorgung;1348,359;114,100;1234,259;1234,259;0,000;50,231;50,231;0,000;0,000;299,667;250,021;49,646;0,000;1698,258
HC.1.3.2 Ambulante zahnärztliche Gesundheitsversorgung;987,298;50,221;937,078;937,078;0,000;37,870;37,870;0,000;0,000;1132,598;1017,610;114,988;0,000;2157,766
HC.1.3.3 Spezialisierte ambulante Gesundheitsversorgung;3780,113;1079,286;2700,827;2700,827;0,000;60,728;60,728;0,000;0,000;533,096;463,545;69,551;0,000;4373,937
